user_id,session_count,avg_session_duration,feature_1_usage,feature_2_usage,total_actions,last_active_days_ago,crash_count,feedback_submitted,device_type,gender,education,age,mode,churned
U0097,12,4.7,5,5,187,6,2,0,iOS,female,school,19,0,0
U0098,9,8.64,3,5,293,24,0,1,Android,male,NEET,18,0,1
U0099,10,8.84,2,8,404,29,0,1,iOS,male,NEET,16,1,1
U0100,13,4.8,4,9,125,1,0,0,Android,female,school,19,0,0
U0101,15,2.27,9,6,105,11,0,1,Android,female,JEE,19,0,1
U0102,9,8.02,4,10,340,15,0,1,iOS,male,college,20,1,1
U0103,11,4.63,5,2,353,8,0,1,iOS,male,school,20,1,1
U0104,10,7.58,8,8,65,19,0,0,iOS,male,school,13,1,1
U0105,8,2.06,8,9,216,10,0,0,iOS,male,school,22,1,1
U0106,1,7.79,5,5,114,14,0,0,iOS,male,college,26,1,1
U0107,13,3.58,3,6,44,2,0,0,Android,female,JEE,19,0,0
U0108,6,7.46,9,8,218,22,0,0,iOS,male,JEE,25,0,1
U0109,13,6.03,2,7,290,20,1,0,iOS,male,JEE,23,1,1
U0110,11,4.09,8,7,378,12,0,0,Android,female,NEET,19,0,1
U0111,10,5.19,7,9,364,20,0,0,Android,female,JEE,22,0,1
U0112,10,7.37,6,3,156,27,1,0,iOS,female,school,24,0,1
U0113,13,6.21,9,6,498,12,1,0,Android,male,JEE,15,0,1
U0114,9,7.17,3,5,296,1,2,1,iOS,female,school,26,0,1
U0115,9,9.95,6,9,90,5,0,0,Android,female,school,28,1,0
U0116,6,2.87,7,8,59,5,2,0,Android,male,NEET,20,1,1
U0117,10,9.23,7,6,96,11,0,1,Android,female,NEET,17,1,1
U0118,12,6.21,5,5,200,3,1,0,iOS,female,NEET,11,1,0
U0119,17,4.2,5,12,312,4,0,0,Android,male,college,23,0,1
U0120,10,3.34,1,7,10,22,0,1,iOS,male,JEE,28,1,1
U0121,9,5.62,7,7,390,29,0,1,iOS,male,school,15,1,1
U0122,9,7.84,4,5,451,7,1,0,iOS,female,school,24,1,0
U0123,3,5.74,7,6,147,5,0,1,Android,female,school,19,1,0
U0124,10,9.02,5,5,145,20,1,1,iOS,female,school,16,0,1
U0125,10,3.1,5,6,371,27,0,0,Android,female,college,25,1,1
U0126,6,5.98,3,6,390,2,0,0,Android,male,NEET,20,0,1
U0127,9,3.5,5,7,163,22,0,0,iOS,female,school,17,0,1
U0128,11,6.73,5,5,171,7,0,0,iOS,female,JEE,9,0,0
U0129,9,7.77,4,5,28,18,0,0,iOS,male,NEET,18,1,1
U0130,10,5.16,3,6,471,20,0,1,iOS,male,NEET,23,0,1
U0131,11,0.79,3,10,337,10,0,0,iOS,female,JEE,9,1,1
U0132,16,6.4,5,3,252,17,2,0,Android,male,school,22,1,1
U0133,9,6.87,10,4,138,9,0,0,Android,male,NEET,29,1,0
U0134,10,6.81,2,6,185,25,0,0,iOS,male,NEET,24,0,1
U0135,16,8.47,5,9,418,27,0,0,iOS,male,college,28,1,1
U0136,7,3.86,3,7,289,19,0,0,iOS,female,school,26,0,1
U0137,5,7.36,4,10,440,11,0,0,Android,male,JEE,29,0,1
U0138,5,8.39,6,6,93,19,0,1,Android,male,NEET,11,0,1
U0139,4,2.44,3,10,385,27,0,0,iOS,female,college,26,1,1
U0140,14,6.64,4,6,231,28,0,0,iOS,female,school,19,1,1
U0141,13,4.99,4,16,334,7,1,0,Android,male,JEE,20,1,0
U0142,8,5.84,5,7,460,18,0,0,Android,male,school,20,1,1
U0143,12,6.7,8,1,425,20,0,0,iOS,female,JEE,17,0,1
U0144,9,5.03,5,14,154,15,2,0,iOS,male,NEET,7,1,1
U0145,14,4.65,6,3,454,26,1,1,Android,male,school,7,1,1
U0146,12,6.07,3,10,115,20,1,0,Android,female,college,15,0,1
U0147,10,3.83,4,4,334,17,0,0,Android,female,college,13,1,1
U0148,9,3.83,5,6,20,8,1,0,Android,male,NEET,19,1,0
U0149,15,7.36,6,7,175,3,1,1,Android,male,JEE,19,1,1
U0150,17,3.7,7,10,205,8,1,0,iOS,female,NEET,17,1,1
U0151,11,7.33,5,12,240,24,0,1,iOS,female,JEE,19,1,1
U0152,8,6.93,2,6,156,1,3,0,Android,female,NEET,21,1,1
U0153,5,2.55,6,11,368,8,1,0,Android,male,NEET,7,0,1
U0154,9,4.64,4,10,247,8,0,1,Android,female,school,30,1,0
U0155,8,8.39,2,8,480,17,0,1,Android,male,college,11,1,1
U0156,6,4.04,4,7,410,10,0,0,iOS,female,college,28,1,1
U0157,11,5.07,2,8,22,12,1,0,iOS,female,college,8,1,1
U0158,5,6.92,3,6,228,5,1,0,iOS,female,college,22,1,1
U0159,12,7.57,4,10,266,8,1,0,iOS,male,college,15,1,0
U0160,9,5.5,7,11,11,15,0,1,Android,male,JEE,13,1,1
U0161,9,4.8,5,6,219,3,1,0,Android,female,school,20,1,0
U0162,13,8.84,5,9,493,1,0,0,iOS,male,JEE,15,1,0
U0163,9,9.48,7,6,374,6,0,1,Android,male,NEET,16,1,1
U0164,5,7.96,9,8,234,14,0,0,iOS,male,JEE,8,1,1
U0165,3,6.17,7,9,493,24,0,0,Android,female,college,17,0,1
U0166,12,4.38,6,8,203,5,1,1,Android,male,JEE,27,0,1
U0167,18,4.34,6,10,205,10,0,0,iOS,male,NEET,18,1,0
U0168,8,7.05,9,5,409,26,0,0,Android,male,college,8,1,1
U0169,11,6.84,2,9,269,29,2,0,Android,female,college,12,1,1
U0170,9,8.8,3,3,66,19,0,0,Android,male,JEE,7,1,1
U0171,3,7.3,9,8,466,16,0,0,iOS,female,college,21,1,1
U0172,10,2.99,3,10,122,3,1,0,Android,female,JEE,25,1,1
U0173,8,8.1,8,2,222,18,1,1,Android,male,college,22,1,1
U0174,10,4,5,5,288,6,0,1,Android,female,NEET,19,1,1
U0175,11,5.23,4,3,253,10,0,1,iOS,female,NEET,26,1,0
U0176,12,6.5,9,7,389,12,0,0,Android,male,college,24,1,1
U0177,8,9.99,2,7,126,26,0,1,Android,male,JEE,22,1,1
U0178,12,12.22,5,5,395,25,0,0,iOS,male,JEE,27,0,1
U0179,11,7.21,10,7,460,20,1,0,Android,female,college,26,1,1
U0180,3,5.63,5,9,96,27,1,1,Android,female,college,15,1,1
U0181,9,7.07,4,3,419,2,4,0,Android,male,NEET,22,0,1
U0182,11,7.78,7,7,390,13,0,0,iOS,female,NEET,19,1,1
U0183,14,5.36,3,11,376,1,0,1,Android,female,JEE,27,1,0
U0184,9,9.59,6,9,272,28,1,0,Android,female,school,29,0,1
U0185,14,6.46,3,7,493,17,1,0,iOS,female,school,28,1,1
U0186,9,7,3,3,309,4,0,0,iOS,male,college,13,1,1
U0187,17,7.33,4,9,426,12,2,1,Android,female,NEET,25,0,1
U0188,7,6.84,1,7,122,12,0,0,Android,male,school,22,1,1
U0189,11,7.68,2,4,457,23,0,0,Android,male,school,16,1,1
U0190,10,4.77,4,9,173,23,0,0,iOS,male,school,22,0,1
U0191,10,4.88,5,3,13,13,0,0,Android,male,school,27,1,1
U0192,10,3.8,8,12,127,11,0,1,iOS,male,college,7,1,1
U0193,14,6.88,7,6,32,20,1,0,Android,male,JEE,17,1,1
U0194,6,7.56,7,4,418,12,0,0,iOS,female,NEET,15,0,1
U0195,13,6.92,2,7,242,17,3,0,iOS,male,school,9,1,1
U0196,12,9.35,6,4,99,12,1,1,iOS,female,college,27,0,1
U0197,6,5.99,8,6,485,3,1,0,Android,female,JEE,13,0,0
U0198,8,7.34,6,9,264,22,0,0,iOS,male,JEE,27,0,1
U0199,9,3.82,4,10,101,29,0,0,iOS,male,college,21,1,1
U0200,15,5.23,4,10,478,21,0,0,Android,male,school,22,1,1
U0201,10,7.39,4,6,467,9,1,1,iOS,male,school,14,0,0
U0202,9,7.7,1,6,164,22,1,1,iOS,male,NEET,23,1,1
U0203,10,5.41,6,4,316,4,0,1,Android,female,school,18,1,0
U0204,10,5.86,8,9,124,17,3,1,iOS,female,JEE,23,0,1
U0205,11,2.96,7,9,216,7,0,1,Android,female,college,18,1,1
U0206,4,5.29,7,12,90,13,0,0,Android,male,college,12,0,1
U0207,6,7.78,6,6,112,27,0,1,Android,male,school,17,1,1
U0208,6,7.15,6,5,492,1,0,0,iOS,female,JEE,18,1,0
U0209,7,7,4,8,462,27,1,0,Android,male,school,12,1,1
U0210,15,6.1,3,10,89,7,0,0,iOS,male,college,8,1,0
U0211,12,6.01,6,7,416,15,0,1,iOS,male,college,13,0,1
U0212,7,4.68,3,7,112,6,0,0,iOS,female,JEE,25,1,0
U0213,6,7.4,10,5,249,2,1,1,iOS,male,JEE,7,1,1
U0214,6,6.84,5,5,274,28,0,0,Android,male,school,28,1,1
U0215,6,6.98,6,2,42,3,0,0,Android,female,JEE,20,1,1
U0216,7,4.95,6,5,44,28,2,0,iOS,female,school,17,0,1
U0217,10,1.69,4,14,258,6,0,0,iOS,female,college,15,1,1
U0218,11,8.19,6,3,497,3,0,0,Android,male,NEET,11,1,0
U0219,4,5.04,5,9,59,8,3,0,Android,male,college,29,1,1
U0220,7,4.27,3,10,289,22,0,1,Android,male,NEET,18,0,1
U0221,9,7.39,2,4,481,16,1,0,iOS,female,NEET,18,1,1
U0222,11,5.22,3,5,251,16,1,0,Android,male,JEE,15,0,1
U0223,10,8.12,2,5,161,19,0,0,Android,male,college,15,1,1
U0224,10,7.23,8,9,156,13,0,0,Android,female,NEET,26,1,1
U0225,5,7.37,7,5,48,13,0,0,iOS,male,college,24,1,1
U0226,10,3.27,4,8,198,28,0,0,Android,female,school,18,1,1
U0227,8,8.42,3,6,34,24,1,0,Android,male,NEET,30,1,1
U0228,7,6.52,3,7,253,12,0,0,Android,female,school,26,1,1
U0229,6,5.26,6,5,232,3,0,1,iOS,male,college,22,0,0
U0230,11,6.29,5,9,239,12,0,1,iOS,male,college,26,1,1
U0231,13,2.45,1,3,162,20,1,0,Android,female,school,30,1,1
U0232,5,6.82,8,3,420,16,0,0,iOS,male,JEE,16,1,1
U0233,11,3.94,9,10,297,14,2,0,iOS,female,school,15,0,1
U0234,9,3.29,4,5,404,29,1,0,Android,female,school,5,0,1
U0235,8,2.96,7,1,462,17,1,1,iOS,male,NEET,16,0,1
U0236,11,8.23,3,2,117,10,1,0,Android,female,school,16,0,1
U0237,11,4.74,7,7,42,3,0,0,iOS,female,school,21,1,0
U0238,5,9.07,5,10,412,27,0,0,iOS,female,school,20,1,1
U0239,7,4.93,6,7,372,19,0,1,Android,female,school,18,1,1
U0240,7,2.59,8,7,120,10,1,1,Android,female,NEET,26,1,1
U0241,5,3.77,2,4,130,9,0,1,Android,male,NEET,15,1,0
U0242,13,8.47,4,6,25,21,0,0,iOS,male,NEET,24,0,1
U0243,6,5.69,9,9,236,12,0,0,iOS,male,college,18,1,1
U0244,16,4.9,4,8,20,21,1,0,iOS,male,school,6,1,1
U0245,11,6.32,4,4,212,7,1,0,iOS,female,JEE,26,1,0
U0246,13,7,3,11,211,27,1,0,Android,male,school,22,1,1
U0247,8,8.23,4,9,107,12,0,0,Android,male,JEE,27,1,1
U0248,10,8.9,4,3,125,8,2,0,Android,female,NEET,29,0,0
U0249,8,5.28,6,12,462,29,4,1,Android,male,NEET,25,1,1
U0250,6,3.35,7,0,480,0,0,0,Android,female,JEE,7,1,0
U0251,10,5.17,3,6,448,0,0,0,iOS,female,college,9,1,0
U0252,8,6.52,6,4,290,14,0,0,iOS,male,college,9,1,1
U0253,8,4.07,8,4,358,21,2,0,Android,female,college,24,0,1
U0254,7,4.09,7,8,241,3,1,0,iOS,female,JEE,22,0,0
U0255,13,6.69,3,12,470,26,1,0,iOS,female,JEE,21,0,1
U0256,10,5.9,4,4,120,19,0,0,iOS,female,NEET,30,1,1
U0257,6,6.07,6,5,361,0,0,0,Android,female,school,25,1,1
U0258,16,4.48,8,6,427,24,1,0,iOS,female,school,24,1,1
U0259,6,5.54,3,8,21,11,1,0,Android,male,school,16,0,1
U0260,7,4.15,4,11,481,10,0,0,iOS,male,JEE,17,0,1
U0261,12,7.78,3,6,497,18,0,0,iOS,male,college,22,0,1
U0262,9,8.07,8,5,30,14,0,0,Android,female,school,22,0,1
U0263,9,2.31,1,6,136,20,1,1,Android,male,NEET,7,0,1
U0264,9,4.14,3,5,294,9,3,0,Android,male,NEET,14,1,1
U0265,10,3.01,7,5,444,0,1,0,Android,female,school,22,1,0
U0266,12,4.7,5,5,130,23,0,1,iOS,male,college,16,1,1
U0267,9,5.83,9,8,133,2,0,1,Android,male,JEE,15,1,1
U0268,15,3.1,5,9,416,13,1,1,Android,female,JEE,15,1,1
U0269,11,4.16,4,6,42,14,0,0,iOS,male,JEE,12,1,1
U0270,6,3.99,5,10,401,0,0,0,iOS,male,JEE,25,1,0
U0271,11,6.41,7,8,179,9,0,0,iOS,male,college,6,1,0
U0272,6,6.14,3,9,86,21,0,0,Android,male,NEET,20,1,1
U0273,7,4.56,6,11,462,0,1,1,Android,male,school,22,1,1
U0274,8,6.35,7,8,306,14,2,0,iOS,male,JEE,24,0,1
U0275,6,4.91,4,5,339,2,0,1,iOS,male,college,29,1,0
U0276,13,5.46,4,6,72,20,1,0,iOS,male,college,27,0,1
U0277,7,9.35,4,5,279,19,0,0,Android,male,NEET,28,1,1
U0278,12,8.68,3,11,225,22,1,1,iOS,male,college,20,1,1
U0279,12,3.4,4,7,199,21,2,1,Android,female,school,24,1,1
U0280,7,7.66,2,13,84,11,1,1,Android,female,school,11,0,1
U0281,7,7.62,7,4,183,18,0,1,iOS,female,school,14,0,1
U0282,11,3.7,6,9,76,15,2,0,Android,male,NEET,27,1,1
U0283,6,7.64,7,2,102,26,0,0,Android,male,JEE,27,1,1
U0284,10,9.08,5,5,62,7,0,1,Android,female,NEET,26,1,0
U0285,16,3.75,4,3,445,23,0,0,Android,male,school,19,0,1
U0286,12,4.16,5,6,103,13,2,0,Android,male,JEE,22,1,1
U0287,11,8.04,4,9,122,17,1,0,Android,male,JEE,15,1,1
U0288,9,6.54,7,4,238,22,0,0,iOS,female,school,21,0,1
U0289,9,7.1,5,8,259,29,0,0,Android,female,JEE,14,1,1
U0290,6,6.68,6,8,400,0,2,1,iOS,male,school,16,0,0
U0291,14,6.78,5,6,218,1,0,0,Android,male,JEE,11,0,1
U0292,11,3.35,2,4,477,23,0,0,iOS,male,NEET,10,1,1
U0293,3,8.09,4,10,191,11,1,1,iOS,male,JEE,19,0,1
U0294,13,8.34,4,5,276,16,1,0,iOS,female,school,18,1,1
U0295,8,5.54,6,5,290,1,0,1,Android,male,school,15,1,0
U0296,8,5.91,11,8,452,27,1,0,Android,female,NEET,24,1,1
U0297,12,2.94,6,4,481,16,1,1,Android,female,NEET,7,0,1
U0298,7,7.03,8,9,459,20,0,0,Android,female,JEE,9,0,1
U0299,6,7.14,5,9,164,6,1,0,Android,male,school,22,1,1
U0300,10,5.88,3,7,92,5,0,1,Android,male,school,24,0,1
U0301,15,8.25,5,9,195,5,1,1,iOS,female,JEE,27,0,1
U0302,11,5.33,1,4,358,21,0,0,Android,female,school,22,1,1
U0303,6,7.13,8,8,494,7,1,1,Android,male,NEET,25,1,0
U0304,10,3.96,6,10,148,4,2,0,Android,male,JEE,26,1,0
U0305,7,5.95,4,7,64,14,0,1,iOS,male,college,15,1,1
U0306,11,5.65,7,4,28,25,0,0,iOS,male,JEE,20,1,1
U0307,13,6.45,1,7,357,6,0,0,iOS,male,NEET,28,1,0
U0308,10,5.26,7,8,432,2,2,0,iOS,female,school,5,1,0
U0309,9,5.74,3,8,478,24,2,0,Android,female,JEE,24,0,1
U0310,6,7.65,9,7,355,9,1,0,Android,female,school,14,0,1
U0311,9,5.13,4,6,479,2,0,0,iOS,female,NEET,22,1,0
U0312,11,2.79,2,6,463,29,0,0,iOS,female,school,27,0,1
U0313,12,9.5,4,7,276,13,1,0,Android,female,school,27,1,1
U0314,7,8.76,6,10,151,21,0,0,iOS,male,college,29,0,1
U0315,13,3.42,2,11,325,2,1,1,iOS,male,school,18,1,1
U0316,11,7.38,1,4,173,0,0,0,iOS,female,school,29,0,0
U0317,5,4.99,7,8,261,0,0,1,iOS,female,college,7,1,1
U0318,14,6.53,7,7,241,18,0,1,Android,male,school,9,1,1
U0319,12,6.59,6,9,306,3,0,0,iOS,female,school,11,0,0
U0320,8,5.53,8,7,395,29,0,1,Android,male,school,18,1,1
U0321,7,4.43,7,3,450,1,0,0,iOS,male,college,6,1,0
U0322,7,4.62,5,8,372,24,0,0,iOS,male,school,8,1,1
U0323,9,4.17,6,5,69,10,0,0,Android,male,JEE,14,1,1
U0324,13,4.34,6,7,413,23,0,0,Android,female,school,15,1,1
U0325,7,5.87,7,8,31,11,0,1,iOS,male,NEET,20,0,1
U0326,11,4.57,6,5,393,12,0,0,iOS,male,NEET,28,1,1
U0327,11,7.36,3,4,135,15,0,0,iOS,male,JEE,16,0,1
U0328,10,8.97,3,5,112,15,1,1,Android,male,JEE,19,1,1
U0329,13,4.84,1,7,397,18,2,0,iOS,female,JEE,18,1,1
U0330,14,6.48,5,10,449,22,1,0,iOS,male,college,13,1,1
U0331,9,7,3,9,230,19,0,0,Android,male,college,12,1,1
U0332,8,6.94,9,2,119,20,0,1,iOS,male,school,20,0,1
U0333,11,6.15,8,1,67,19,0,1,iOS,male,college,15,1,1
U0334,6,7.49,4,4,481,8,0,0,iOS,female,school,15,1,0
U0335,5,6.96,2,6,74,15,0,0,Android,male,college,16,1,1
U0336,8,3.52,3,7,481,26,2,0,iOS,female,college,23,1,1
U0337,11,7.74,2,10,67,6,0,0,iOS,male,JEE,7,0,0
U0338,7,7.77,4,8,167,12,0,1,iOS,female,JEE,17,1,1
U0339,14,4.47,4,5,85,3,0,0,iOS,female,NEET,20,0,0
U0340,11,6.08,5,4,28,12,1,0,Android,male,school,15,1,1
U0341,9,7.37,8,12,393,7,0,1,iOS,female,school,20,1,0
U0342,10,5.58,6,3,494,1,2,1,iOS,male,JEE,26,0,1
U0343,5,8.15,3,9,199,6,0,0,iOS,male,college,17,1,1
U0344,7,10.73,5,6,259,10,0,0,iOS,male,JEE,24,0,0
U0345,8,4.43,6,5,369,16,0,0,Android,male,school,5,1,1
U0346,12,3.24,3,10,372,23,0,0,iOS,female,school,28,1,1
U0347,11,6.61,8,3,383,28,0,0,iOS,male,JEE,8,0,1
U0348,12,7.44,8,11,461,13,1,0,Android,male,college,21,0,1
U0349,11,5.54,5,7,88,27,0,1,iOS,female,college,16,1,1
U0350,10,8.91,4,3,93,29,0,1,Android,female,college,15,0,1
U0351,8,3.32,2,10,181,12,0,0,iOS,female,JEE,13,1,1
U0352,5,7.39,6,3,221,14,1,0,Android,female,JEE,15,1,1
U0353,12,4.79,5,9,383,21,0,1,Android,female,JEE,30,1,1
U0354,12,9.44,6,12,454,27,0,1,iOS,female,NEET,30,1,1
U0355,13,9.99,7,8,158,20,0,1,Android,female,NEET,15,0,1
U0356,8,4.47,3,5,19,24,0,0,Android,female,college,11,0,1
U0357,9,4.9,9,4,39,8,0,0,iOS,female,JEE,14,0,0
U0358,15,7.72,2,7,289,2,0,1,iOS,male,JEE,16,1,0
U0359,17,5.23,0,8,441,24,0,0,iOS,female,college,5,0,1
U0360,7,5.91,6,9,64,12,0,0,iOS,female,school,24,1,1
U0361,14,6.05,4,6,369,12,1,0,iOS,female,NEET,25,1,1
U0362,13,2.16,6,3,136,8,1,1,iOS,male,college,27,1,1
U0363,7,5.97,4,7,189,17,0,0,iOS,female,NEET,16,0,1
U0364,16,4.62,5,10,241,4,1,1,iOS,female,college,14,1,1
U0365,7,5.01,2,9,390,10,0,0,iOS,female,college,8,1,1
U0366,15,8.89,5,6,431,1,0,1,Android,male,school,21,0,1
U0367,12,3.49,4,10,460,16,0,0,Android,female,NEET,26,0,1
U0368,16,7.63,3,7,102,22,1,0,Android,male,JEE,23,0,1
U0369,8,5.44,5,4,17,19,0,1,Android,female,college,21,1,1
U0370,7,5.44,3,7,422,20,0,1,Android,male,JEE,20,1,1
U0371,8,7.58,3,5,256,3,0,1,Android,female,NEET,20,1,0
U0372,4,6.68,4,5,403,21,0,0,Android,male,NEET,7,1,1
U0373,10,7.14,8,8,462,26,0,0,iOS,female,JEE,26,0,1
U0374,8,7.94,5,7,340,17,0,0,Android,male,JEE,26,1,1
U0375,14,5.34,4,8,205,23,1,0,Android,male,college,16,0,1
U0376,7,4.78,4,11,442,19,0,1,Android,female,college,24,1,1
U0377,14,3.83,4,8,451,7,2,0,Android,female,school,14,1,0
U0378,14,4.35,4,4,172,18,0,0,Android,male,college,8,1,1
U0379,16,11.9,7,8,443,11,1,0,iOS,female,school,16,1,1
U0380,13,8.49,8,6,49,27,0,0,Android,male,NEET,27,1,1
